userName,score,at,content
Pengguna Google,1,1/24/2022 15:01,Aplikasi sering eror fee paling mahal!
Pengguna Google,1,1/24/2022 15:02,Kebanyakan Mikirin Fee Gak jelas lama2 nih
Pengguna Google,1,1/24/2022 15:05,turunkan harga fee!!
Pengguna Google,1,1/24/2022 15:08,"Fee transfer koin tron ngga msuk akal, mahal bgt,,, trpksa sy ksih bintang 1"
Pengguna Google,1,1/24/2022 15:11,Sabar bang
Pengguna Google,1,1/24/2022 15:12,"Dev maruk duit, mo wd aja 25rb, trus nanti juga tax TRX mo dinaikin"
Pengguna Google,1,1/24/2022 15:17,Fee mahal mo naik haji kah
Pengguna Google,1,1/24/2022 15:21,"Semua fee nya mahal, terus tiap mau melakukan penarikan sesalu maintance"
Pengguna Google,1,1/24/2022 15:22,Rampok Cok Asw lah
Pengguna Google,1,1/24/2022 15:24,Biaya pengiriman mahal
Pengguna Google,1,1/24/2022 15:25,Makin mahal aja fee nya haduh
Pengguna Google,1,1/24/2022 15:28,"Jaringan sering down, fee transfer mahal"
Pengguna Google,1,1/24/2022 15:28,Mau naik haji pake uang fee apa?
Pengguna Google,2,1/24/2022 15:33,"Mininal depo 10000,pas masuk 9930,minimal transaksi 10000,kenapa ga dipotong 100 persen aja sekalian 🤣"
Pengguna Google,1,1/24/2022 15:34,like
Pengguna Google,1,1/24/2022 15:35,Tambah parah indodax.malah fee nya makin mahal
Pengguna Google,1,1/24/2022 15:35,Jelek sekali biaya jaringan malah tambah gede
Pengguna Google,1,1/24/2022 15:41,"Loh loh, makin hari fee nya di naikin, 5trx aja udah susah, ini pengen 20trx, lawak exchange indo satu ini, dah lah bubar yo"
Pengguna Google,1,1/24/2022 15:41,"Jangan seenaknya naikin fee. Turunin, nanti gw tambahin bintangnya"
Pengguna Google,1,1/24/2022 15:41,Parah sih
Pengguna Google,1,1/24/2022 15:42,Apk g jelas.... Fee lu gedein tp maintenance mulu gliran ada apa2 susah dihub. Beda sama exchange sebelah fee kecil tp bagus ...
Pengguna Google,1,1/24/2022 15:42,"Market lagi merah, fee-nya segala ditambahin parah bener, saatnya ganti ke tokopedia"
Pengguna Google,1,1/24/2022 15:51,INDODAX Scaammm. Penipuan. Cuih
Pengguna Google,5,1/24/2022 15:52,Good
Pengguna Google,1,1/24/2022 15:52,fee terlalu mahal dan lmbat dlm transaksi hufft
Pengguna Google,1,1/24/2022 15:52,Moga berkah
Pengguna Google,1,1/24/2022 15:54,rampok fee makin mahal gas kasih bintang 1
Pengguna Google,1,1/24/2022 15:55,huuu gede bgt fee nya
Pengguna Google,1,1/24/2022 16:04,Kualitas mu mulai menurun
Pengguna Google,1,1/24/2022 16:08,Lawak Exchange Indo
Pengguna Google,1,1/24/2022 16:12,fee mahal
Pengguna Google,1,1/24/2022 16:13,fee nya gk ngotak ajg
Pengguna Google,1,1/24/2022 16:18,Bye bye dah biaya swap makin naek
Pengguna Google,1,1/24/2022 16:22,Fee di naikan ga wajar bahh
Pengguna Google,1,1/24/2022 16:27,Feeee mahall bangett
Pengguna Google,1,1/24/2022 16:27,Bukan makim murah biaya fee Malah makin malah 😒
Pengguna Google,1,1/24/2022 16:29,"Fee wd trx usdt , fee depo , fee withdraw mahal abiezzzzzzzz. Tolong dong merakyat sedikit , yg trading ga semua sultan, kami kaum tani juga trading."
Pengguna Google,1,1/24/2022 16:39,Fee terlalu mahal
Pengguna Google,1,1/24/2022 16:43,Fee penukaran terbilang cukup mahal!!!
Pengguna Google,1,1/24/2022 16:50,"sudah waktunya hijrah ke toko sebelah , udah g jelas ni indodax, fee d naikin pula"
Pengguna Google,1,1/24/2022 17:00,"Biaya penarikan dr 5 ke 20 trx, dr 1 usdt ke 2 usdt enggak bgt."
Pengguna Google,1,1/24/2022 17:05,25 Januari fee ga ngotak
Pengguna Google,1,1/24/2022 17:06,Untuk tax penarikan sangat mahal
Pengguna Google,1,1/24/2022 17:17,fee ny besarbangedd
Pengguna Google,1,1/24/2022 17:25,Kapitalis naikin fee seenak jidat bgst 😘😘
Pengguna Google,1,1/24/2022 17:26,Kita berpisah.
Pengguna Google,1,1/24/2022 17:30,Fee kemahalan
Pengguna Google,1,1/24/2022 17:31,Tokocrypto aja gaes 🤣
Pengguna Google,1,1/24/2022 17:38,Ada satu coin harganya beda jauh masa cmc sekarang biaya wd naik lagi mending pake tokocrypto/binance lebih enak lengkap
Pengguna Google,1,1/24/2022 17:51,Biaya tf trx mahal jir. Biaya tarik ke bank juga mahal. Ga kaya yg sebelah yg tpu ma tko
Pengguna Google,1,1/24/2022 17:51,Fee mahal
Pengguna Google,1,1/24/2022 18:00,Gak mutuu serba mahall 🤣🤣🤣🤣🤣
Pengguna Google,1,1/24/2022 18:06,"Asli ga mau rugi wd TRX jadi 20, awalnya cuman 2 jauh banget bedanya. Tinggal ganti aja BUSD🤣"
Pengguna Google,1,1/24/2022 18:15,Mahal euy
Pengguna Google,1,1/24/2022 18:30,"Katanya deposit pake ovo dapat cashback, koko malah ga dpt, dasar penipu"
Pengguna Google,5,1/24/2022 18:46,semoga membantu
Pengguna Google,1,1/24/2022 18:54,Fee muahall.trs naik. Pret dah bintang 1 ajh yaa..
Pengguna Google,1,1/24/2022 19:07,"Buruk sekali sekarang, WD sukses tapi koin tidak masuk ke wallet tujuan.. Anjengg indodax skrng, cs.nya lama sekali bangsatt"
Pengguna Google,1,1/24/2022 19:09,Parahhhh banget... Fee semakin naik tinggi aja di indodax. Mulai hari ini Aku stop di Indodax. Pindah ke Tokocrypto fee nya sangat murahhh...
Pengguna Google,1,1/24/2022 19:29,saat market hancur mlah naikin biaya trf kemarket lain dengn alasan optimalisasi lagi PARAH!!
Pengguna Google,1,1/24/2022 19:34,Sangat jelek fee nya mahal lebih baik toko crypto
Pengguna Google,1,1/24/2022 20:09,Mahal banget transaksi fee nya.
Pengguna Google,1,1/24/2022 20:40,Fee mahal!!! Macam bank keliling👎👎🏿
Pengguna Google,1,1/24/2022 21:15,Makin rusak dan kg bener nih
Pengguna Google,1,1/24/2022 22:05,"Deposit kena Fee, wd kena Fee, Beli/Jual Coin Kena Fee, fix ini exchange Rampok"
Pengguna Google,5,1/24/2022 22:13,Mantap sebaguna aplikasi gk lama untuk trassaksi manta pokonya
Pengguna Google,1,1/24/2022 22:25,Naikin fee....baikin dulu noh server sering eror wkwkwk bye indodax
Pengguna Google,5,1/24/2022 22:34,bismillah
Pengguna Google,5,1/24/2022 22:48,Good
Pengguna Google,1,1/24/2022 22:54,"asw fee dinaikin , mana kyc gagal mulu njier , parah parah ini app"
Pengguna Google,1,1/24/2022 22:54,Engga ada akhlak fee-nya mending yg disebelah
Pengguna Google,1,1/24/2022 22:58,Fee mahal! Mending apl sebelah
Pengguna Google,5,1/24/2022 23:02,Top 👍
Pengguna Google,5,1/24/2022 23:05,"Indodax is The Real perdagangan saham karena ada yang diperdagangkan yaitu aset, klo aplikasi yg lain kebanyakan bersifat Taruhan antara harga aset naik apa turun. Indodax yang Terbaik masuk dalam kategori platform perdagangan menurut saya pribadi"
Pengguna Google,1,1/24/2022 23:06,Keseringan maintanen payah
Pengguna Google,1,1/24/2022 23:17,Makan tuh fee 20 TRX. Exchange lain 1 TRX doang woyy wkwkwkwkwkwkwkwk
Pengguna Google,1,1/24/2022 23:18,Begal
Pengguna Google,1,1/24/2022 23:20,fee nya gada otak mahal nya masa iya mau wd 100k fee nya 25k anda sehat?
Pengguna Google,1,1/24/2022 23:26,mahal ya fee nya :(
Pengguna Google,1,1/24/2022 23:27,Kurangi biaya transfer dan wd.bukan mengoptimalkan tapi merugikan.selama ini saya pakai aplikasi ini.kalau di naikin ya mending hapus downlod aplikasi lain.masih banyak aplikasi yang biaya nya murah ☺️
Pengguna Google,1,1/24/2022 23:27,Tranfer usdt mahal amat
Pengguna Google,1,1/24/2022 23:31,fee mahal.
Pengguna Google,1,1/24/2022 23:35,Disaat yg lain berlomba2 nurutkan fee transaksi.. Indodax malah naik teruss...
Pengguna Google,1,1/24/2022 23:40,Fee mahal
Pengguna Google,1,1/24/2022 23:42,exchanger rampok
Pengguna Google,1,1/24/2022 23:43,Biaya mahal
Pengguna Google,5,1/24/2022 23:50,semua kendala cepat teratasi... mantap... Terimakasih indodax...
Pengguna Google,1,1/24/2022 23:53,Fee mahal
Pengguna Google,1,1/24/2022 23:54,Udah jadi primadona malah fee di naikan.. balik ke tko lgi dah
Pengguna Google,1,1/25/2022 0:11,Terlalu mahal
Pengguna Google,5,1/25/2022 0:14,"Oke mantap,"
Pengguna Google,1,1/25/2022 0:29,Harga potongannya makin naik gak waras ap indodax ni bagus binansi
Pengguna Google,1,1/25/2022 0:30,MENDING TOKOCRYPTO ! FEE NYA LEBIH MURAH !
Pengguna Google,1,1/25/2022 0:30,Biaya mahal
Pengguna Google,1,1/25/2022 0:32,biaya transaksi mahal biaya Penarikan mahal
Pengguna Google,1,1/25/2022 0:33,Makan tu feee
Pengguna Google,1,1/25/2022 0:45,Pencurian dengan gaya
Pengguna Google,1,1/25/2022 0:46,"Kalau mau naik haji ngomong, fee mu mahal kali bah. Fix per hari ini pindah ke tokocrypto atau binance aja lebih murah."
Pengguna Google,1,1/25/2022 0:46,Urus tu fee blok
Pengguna Google,1,1/25/2022 0:47,Kecewa
Pengguna Google,1,1/25/2022 0:48,Mahalll
Pengguna Google,1,1/25/2022 0:59,Jelek bgt ngentoddd
Pengguna Google,1,1/25/2022 0:59,SKIP MAHAL
Pengguna Google,1,1/25/2022 1:03,biaya penarikan sangat mahal .beda dengan yang lain 😅
Pengguna Google,1,1/25/2022 1:10,Fee mahal
Pengguna Google,4,1/25/2022 1:17,Good
Pengguna Google,1,1/25/2022 1:19,fee nya g ngotak
Pengguna Google,1,1/25/2022 1:22,"Indodak berdarah dingin,"
Pengguna Google,1,1/25/2022 1:30,"buruk, fee mahal"
Pengguna Google,1,1/25/2022 1:34,Mahaaal
Pengguna Google,1,1/25/2022 1:42,"Fee mahal , mending aplikasi sebelah"
Pengguna Google,1,1/25/2022 1:44,"Mahal fee,nya"
Pengguna Google,1,1/25/2022 1:47,Fee mahal mending ke binance/tokocrypto
Pengguna Google,1,1/25/2022 1:47,Coba sendiri aja bre!!
Pengguna Google,1,1/25/2022 1:50,menjijikan udah unisntal aja
Pengguna Google,1,1/25/2022 1:51,Fee terlalu mahal.sering erorr
Pengguna Google,1,1/25/2022 1:54,fee MAHAL gak ngotak !
Pengguna Google,1,1/25/2022 1:58,Mahal bgt biayanya
Pengguna Google,1,1/25/2022 2:01,Mahal banget penarikannya cok
Pengguna Google,1,1/25/2022 2:06,Mahaaaal
Pengguna Google,1,1/25/2022 2:07,Skip
Pengguna Google,1,1/25/2022 2:11,Fee sangat mahal !!!!
Pengguna Google,5,1/25/2022 2:11,Sangat bagussss apk
Pengguna Google,1,1/25/2022 2:12,"Aplikasi gak waras Ambil enaknya sendiri aku sudah jual aset kok bisa""nya tidak terjual"
Pengguna Google,1,1/25/2022 2:17,Fee mahal ngga ngotak
Pengguna Google,1,1/25/2022 2:23,Pajak terlalu besar
Pengguna Google,1,1/25/2022 2:28,Mahal bener feenya sekarang ga like bangett
Pengguna Google,1,1/25/2022 2:28,Indodax fee nya rampok masal
Pengguna Google,1,1/25/2022 2:39,Yang bener bener aja 😂
Pengguna Google,1,1/25/2022 2:42,Byaya admin terlalu tinggi
Pengguna Google,1,1/25/2022 2:42,Saya kecewa dengan indodax... Sudah terlalu mahal potonganya... Untuk teman2 jangan download apk ini lagi mahal untuk wd dan penyetoran...
Pengguna Google,1,1/25/2022 2:42,Makan tuh fee
Pengguna Google,1,1/25/2022 2:46,Saya WD BUSD BEP20 dari Indodax ke Binance sudah 4 Jam belum ada masuk. + Apk Sering Error. Terutama saat Coin² yg Harganya melambung tinggi. Pasti Apk Indodax Error.
Pengguna Google,1,1/25/2022 2:46,Update konyol
Pengguna Google,1,1/25/2022 2:48,Fee terlalu mahal auto pindah tokocrypto
Pengguna Google,1,1/25/2022 2:50,Fee tax terlalu mahal
Pengguna Google,1,1/25/2022 3:05,Fee jangan di naikan
Pengguna Google,1,1/25/2022 3:11,Fe mahal yahahaha hayyuk
Pengguna Google,1,1/25/2022 3:12,Yhaha mahal
Pengguna Google,1,1/25/2022 3:21,"Fee ga ngotak, mending pindah aplikasi sebelah"
Pengguna Google,1,1/25/2022 3:23,Fee mahal
Pengguna Google,1,1/25/2022 3:36,"Semakin kacau, fee semakin mahal. Gk rekom buat d donwload, pindah k sebelah aj yg lebih joss dan fee murah. Ayo beralih k sebelah. TKO,PINTU,BINANCE lebih jossa."
Pengguna Google,1,1/25/2022 3:41,Apk jelek fee makin tinggi unistal aja lah
Pengguna Google,1,1/25/2022 3:49,Fee sana fee sini
Pengguna Google,1,1/25/2022 3:53,"Akun saya mendadak tidak bisa login, forgot password saja tidak ada email balasan dari pihak indodax. Tidak ada kejelasan dari pihak indodax."
Pengguna Google,1,1/25/2022 3:54,"Melakukan deposit masuknya lama, terus fee buat penarikan ke bank besar, sekarang harga untuk pengiriman crypto malah nambah mahal fee nya. Lucu, mending pindah ke binance atau tokocrypto"
Pengguna Google,5,1/25/2022 3:58,Baik
Pengguna Google,1,1/25/2022 3:59,Pelayanan payah
Pengguna Google,1,1/25/2022 4:25,Fee transaksi malah di mahalin.(trx)
Pengguna Google,1,1/25/2022 4:26,Fee mahal
Pengguna Google,3,1/25/2022 4:30,"Kalo kalian baru main crypto maka indodax ini platform yang cocok. Kalo kalian paham advanced soal crypto, pakai platform/apk yg lain aja"
Pengguna Google,1,1/25/2022 4:31,"Aplikasi besar tapi sayang gak pernah adain event kayak tokocrypto,adain event dong min kayak tokocrypto."
Pengguna Google,5,1/25/2022 4:33,Aplikasi yang sangat bagus
Pengguna Google,1,1/25/2022 4:33,Fee kebesaran
Pengguna Google,1,1/25/2022 4:39,Masih banyak yang kasih bintang 5...fee tambah besar...pengiriman ke wallet lain tambah gede ...apa2an ini aplikasi pindah aja woiii yang belum download
Pengguna Google,1,1/25/2022 4:42,"Fee naik terus , jelek sangat"
Pengguna Google,1,1/25/2022 4:45,Kok di hapus Rating nya? Wkwkwk takut bangkrut ya?
Pengguna Google,1,1/25/2022 4:45,Di percaya kok malahan nyekek dah kenapa di naikin terus itu feenya buat TF kacau sekarang IDX mah oke ku hapus aja lah ini aplikasi gue pindahin ke binance aja
Pengguna Google,1,1/25/2022 4:52,Ga kira kira
Pengguna Google,1,1/25/2022 5:04,"cikolin, mo pergi haji sia pake segala naek biaya transfer🤣"
Pengguna Google,1,1/25/2022 5:09,"Semakin semakin ma hal, blm lgi ada koin yg smpe ilang kek dlu vidyx. Vidy, smpe rugi parah"
Pengguna Google,1,1/25/2022 5:16,VERIF RIBET FEE MAHAL TIDAK KETERANGAN JARINGAN KEK BEP-2 BEP-20 TRC-10 TRC-20 MIN KIRIM MAHAL
Pengguna Google,5,1/25/2022 5:16,Ok
Pengguna Google,1,1/25/2022 5:17,fee mahal
Pengguna Google,1,1/25/2022 5:19,sekarang makin burukk kecewa sudah
Pengguna Google,1,1/25/2022 5:31,"sistem lawak, galayak"
Pengguna Google,1,1/25/2022 5:35,"Fee nya kemahalan,hadeh kesian kepada investor Kecil/pemula"
Pengguna Google,1,1/25/2022 5:39,Fee nya ga ngotak
Pengguna Google,1,1/25/2022 5:56,FEE nya kek kontol
Pengguna Google,1,1/25/2022 5:58,bener gk sih fee di naikin? gk ngotak amat.. bentar lg diserbu warga indodax.. fix auto pindah ke sebelah..
Pengguna Google,1,1/25/2022 6:02,indodak tolil
Pengguna Google,1,1/25/2022 6:10,FEE nya terlalu mahal ....!
Pengguna Google,1,1/25/2022 6:13,semakin mahal di ongkos
Pengguna Google,1,1/25/2022 6:15,Masa email verifikasi saya ga masuk2 ke gmail
Pengguna Google,1,1/25/2022 6:22,"Kebanyakan biaya, mahal."
Pengguna Google,1,1/25/2022 6:29,Fee terlalu tinggi yg semula penarikan TRX cuma 5 sekarang menjadi 20
Pengguna Google,5,1/25/2022 6:37,Exchange khusus buat wd
Pengguna Google,1,1/25/2022 6:46,👺
Pengguna Google,1,1/25/2022 6:48,Biaya pengiriman mahal parah
Pengguna Google,1,1/25/2022 6:53,Sya witdrow ko udh berapa hari ini ga masuk masuk ya sya kasih bintang 1 dulu klo udh masuk baru sya kasih bintang 5
Pengguna Google,1,1/25/2022 6:55,Fak
Pengguna Google,1,1/25/2022 6:59,FEE SEMAKIN MAHAL
Pengguna Google,1,1/25/2022 7:00,FEE NYA MAHAL!!
Pengguna Google,1,1/25/2022 7:04,"Unistal ajadah , fee nya mahal , mending tokocrip / binan"
Pengguna Google,1,1/25/2022 7:07,FEE SELANGIT
Pengguna Google,1,1/25/2022 7:20,fee makin.mahal
Pengguna Google,1,1/25/2022 7:24,Game TOLOl
Pengguna Google,1,1/25/2022 7:34,Fee terlalu mahal euy
Pengguna Google,1,1/25/2022 7:35,"Biaya / fee nya makin lama makin mahal gajelas, main naikin aja ga pke otkk"
Pengguna Google,2,1/25/2022 7:43,"Indodax ga cocok buat pemain receh apalagi pemula, biaya admin pun tinggi 25rb untuk sekedar narik receh seperti 100rb. Ini pertama dan terakhir pakai aplikasi ini, Terimakasih 😊"
Pengguna Google,1,1/25/2022 7:48,tadinya saya beri bintang 5 tapi sekarang bintang satu... terkait dengan harga fee nya yang mahal membuat saya sebagai user beralih ke tokosebelah tapi saya ucapkan terima kasih telah menemaniku dari jaman bitcoin.vip
Pengguna Google,1,1/25/2022 7:49,Fee mahal
Pengguna Google,2,1/25/2022 7:54,Fee nya naik makin mahal
Pengguna Google,1,1/25/2022 8:00,Bangke ngapain biaya transfer nya di gedein gw bakalan pindah ke Excangce lain kalau gini mah
Pengguna Google,1,1/25/2022 8:02,"Perampokan online, fee sekarang mahal 💩💩💩"
Pengguna Google,1,1/25/2022 8:05,Fee mahal
Pengguna Google,1,1/25/2022 8:34,Puyeng sama apk ini kadang keluar sendiri dan minta update mulu trus fee buat wd nya kemahalan hehe
Pengguna Google,5,1/25/2022 8:40,Cs indodax terbaik
Pengguna Google,1,1/25/2022 8:44,"Sory kak saya uninstall deh, feenya kemahalan hehe"
Pengguna Google,5,1/25/2022 8:55,"Thebest keluhan diterima dengan baik, meskipun agak lama tapi lancar gak sipersulit sedikitpun"
Pengguna Google,5,1/25/2022 8:59,Mantap
Pengguna Google,1,1/25/2022 9:00,Login
Pengguna Google,1,1/25/2022 9:02,Whattttttt
Pengguna Google,1,1/25/2022 9:19,Gak jelas
Pengguna Google,1,1/25/2022 9:23,Huh
Pengguna Google,1,1/25/2022 9:26,pajak doang gede benahin dulu aplikasinya kalau ada coin yg pump tinggi ga maintance terus 👎
Pengguna Google,1,1/25/2022 9:29,Fee mahal
Pengguna Google,5,1/25/2022 9:29,Baik
